HILLSIDE VALERO                                             ,Valero                        ,"248 S HILLSIDE ST, Wichita                                 , KS",
DISCOUNT CIGARETTES AND GAS                                 ,Unbranded                     ,"2160 S BROADWAY ST, Wichita                                 , KS",
NOORI CONVENIENCE STORE                                     ,Unbranded                     ,"801 S OLIVER ST, Wichita                                 , KS",
GENERAL STORE 6                                             ,Phillips 66                   ,"1003 S SENECA ST, Wichita, KS",
KC GAS AND GROCERIES 1                                      ,Unbranded                     ,"1102 MAPLE ST, Wichita                                 , KS",
D AND T STATION                                             ,Unbranded                     ,"895 S WOODLAWN ST, Wichita                                 , KS",$2.899
QUIKTRIP #372                                               ,QuikTrip                      ,"3106 E PAWNEE ST, Wichita, KS",$2.899
QUIKTRIP #329                                               ,QuikTrip                      ,"1620 S OLIVER ST, Wichita, KS",$2.949
DILLONS #9096 (DISCOUNT AVAILABLE)                          ,Dillon                        ,"5522 E HARRY ST, Wichita                                 , KS",$2.949
QUIKTRIP #369                                               ,QuikTrip                      ,"625 S HILLSIDE ST, Wichita, KS",$2.949
QUIKTRIP #389                                               ,QuikTrip                      ,"4730 E CENTRAL AVE, Wichita, KS",$2.949
QUIKTRIP #373                                               ,QuikTrip                      ,"1607 E LINCOLN ST, Wichita, KS",$2.949
QUIKTRIP #376                                               ,QuikTrip                      ,"2106 S ROCK RD, Wichita, KS",$2.949
QUIKTRIP #353                                               ,QuikTrip                      ,"110 S ROCK RD, Wichita, KS",$2.949
DILLONS #9020 (DISCOUNT AVAILABLE)                          ,Dillon                        ,"7707 E CENTRAL AVE, Wichita                                 , KS",$2.949
CIRCLE K #2721638                                           ,Circle K                      ,"2001 S OLIVER ST, Wichita, KS",$2.959
CIRCLE K #1631,Circle K                      ,"1250 S ROCK RD, Wichita, KS",$2.959
KWIK SHOP #772 (DISCOUNT AVAILABLE)                         ,Kwik Shop                     ,"2750 S OLIVER ST, Wichita, KS",$2.979
KWIK SHOP                                                   ,Kwik Shop                     ,"514 S OLIVER ST, Wichita, KS",$2.999
KWIK SHOP #748 (DISCOUNT AVAILABLE)                         ,Kwik Shop                     ,"2809 E DOUGLAS AVE, Wichita, KS",$2.979
NOORI CONVENIENCE STORE                                     ,Unbranded                     ,"801 S OLIVER ST, Wichita                                 , KS",
HILLSIDE VALERO                                             ,Valero                        ,"248 S HILLSIDE ST, Wichita                                 , KS",
FOOD MART 205                                               ,Valero                        ,"7101 E LINCOLN ST, Wichita                                 , KS",
GOT GAS                                                     ,Unbranded                     ,"353 S ARMOUR ST, Wichita                                 , KS",
B D CONVENIENCE                                             ,Unbranded                     ,"1301 S HYDRAULIC ST, Wichita                                 , KS",
MIDWAY OIL #2                                               ,Unbranded                     ,"1201 E LINCOLN ST, Wichita                                 , KS",
DILLONS #9089 (DISCOUNT AVAILABLE)                          ,Dillon                        ,"1910 W 21ST ST N, Wichita                                 , KS",$2.919
QUIKTRIP #360                                               ,QuikTrip                      ,"3933 W 13TH ST N, Wichita, KS",$2.919
DILLONS #9092 (DISCOUNT AVAILABLE)                          ,Dillon                        ,"640 N WEST ST, Wichita                                 , KS",$2.919
QUIKTRIP #396                                               ,QuikTrip                      ,"324 S WEST ST, Wichita, KS",$2.919
QUIKTRIP #368                                               ,QuikTrip                      ,"626 W 21ST ST N, Wichita, KS",$2.929
QUIKTRIP #349                                               ,QuikTrip                      ,"1112 W DOUGLAS AVE, Wichita, KS",$2.949
QUIKTRIP #391                                               ,QuikTrip                      ,"730 N BROADWAY AVE, Wichita, KS",$2.949
VALERO                                                      ,Valero                        ,"851 S MERIDIAN AVE, Wichita                                 , KS",$2.949
QUIKTRIP #386                                               ,QuikTrip                      ,"1010 E DOUGLAS AVE, Wichita, KS",$2.949
CIRCLE K #2721641                                           ,Circle K                      ,"515 N SENECA ST, Wichita, KS",$2.959
PHILLIPD 66                                                 ,Phillips 66                   ,"565 S MARKET ST, Wichita                                 , KS",$2.959
KWIK SHOP #731 (DISCOUNT AVAILABLE)                         ,Kwik Shop                     ,"710 W 29TH ST N, Wichita, KS",$2.959
CIRCLE K #2721636                                           ,Circle K                      ,"4414 W MAPLE ST, Wichita, KS",$2.959
P P STATION                                                 ,Unbranded                     ,"2601 N BROADWAY ST, Wichita                                 , KS",$2.889
PETRO AMERICA                                               ,Unbranded                     ,"2838 W CENTRAL AVE, Wichita                                 , KS",$2.919
DILLONS #9034 (DISCOUNT AVAILABLE)                          ,Dillon                        ,"3932 W 13TH ST N, Wichita                                 , KS",$2.919
JUMP START STORE #2                                         ,Jump Start                    ,"3805 W 21ST ST N, Wichita, KS",$2.919
FOOD MART                                                   ,Unbranded                     ,"2849 W 13TH ST N, Wichita                                 , KS",$2.959
STOP AND SHOP                                               ,Unbranded                     ,"1826 W 13TH ST N, Wichita, KS",$2.969
SHELL,Shell                         ,"1400 N MARKET ST, Wichita                                 , KS",
KC GAS AND GROCERIES,Unbranded                     ,"1161 N BROADWAY ST, Wichita                                 , KS",
Red Rock,Conoco                        ,"802 N WEST ST, Wichita                                 , KS",
PETRO AMERICA                                               ,Unbranded                     ,"2700 AMIDON ST, Wichita, KS",
KC GAS AND GROCERIES 1                                      ,Unbranded                     ,"1102 MAPLE ST, Wichita                                 , KS",
MIDWAY OIL                                                  ,Unbranded                     ,"3448 W DOUGLAS AVE, Wichita                                 , KS",
