CIRCLE K #2567                                              ,Circle K                      ,"9365 S MAIN ST, Houston, TX",$2.759
TIMEWISE FOOD STORE #075                                    ,Timewise Food Store           ,"9805 S MAIN ST, Houston                                 , TX",$2.759
CIRCLE K #2090                                              ,Circle K                      ,"8301 KNIGHT RD, Houston, TX",$2.799
HANDI STOP #100                                             ,Handi Stop                    ,"1620 S LOOP W, Houston, TX",$2.799
STAR STOP FOOD MART #8                                      ,Star Stop Food Mart           ,"8610 ALMEDA RD, Houston, TX",$2.799
KROGER FUEL CENTER (DISCOUNT AVAILABLE),Kroger                        ,"7747 KIRBY DR, Houston                                 , TX",$2.799
CHEVRON                                                     ,Chevron                       ,"3215 SOUTH LOOP W, Houston                                 , TX",$2.799
EXXON                                                       ,Exxon                         ,"2665 REED RD, Houston, TX",$2.799
REED MART                                                   ,Valero                        ,"2800 REED RD, Houston                                 , TX",$2.799
FUEL EXPRESS                                                ,Exxon                         ,"7555 SCOTT ST, Houston                                 , TX",$2.799
TEXACO                                                      ,Texaco                        ,"3902 BELLFORT ST, Houston                                 , TX",$2.799
COME AND GO FOOD STORE                                      ,Texaco                        ,"7140 SCOTT ST, Houston                                 , TX",$2.799
DEL RIO FOOD MART                                           ,CITGO                         ,"3402 OLD SPANISH TRL, Houston                                 , TX",$2.799
CHEVRON                                                     ,Chevron                       ,"8550 ALMEDA RD, Houston                                 , TX",$2.899
CHEVRON                                                     ,Chevron                       ,"2705 REED RD, Houston                                 , TX",$2.899
BUSY BEE                                                    ,Mobil                         ,"3354 OLD SPANISH TRL, Houston                                 , TX",$2.899
CHEVRON                                                     ,Chevron                       ,"3365 OLD SPANISH TRL, Houston                                 , TX",$2.899
SAMS MART 3                                                 ,Valero                        ,"9605 STELLA LINK RD, Houston                                 , TX",$2.899
SUNNYS FOOD STORE                                           ,Unbranded                     ,"9715 STELLA LINK RD, Houston                                 , TX",$2.899
BRAESWOOD SHELL                                             ,Shell                         ,"8521 STELLA LINK RD, Houston                                 , TX",$2.899
BEST SUPER DRIVE INN                                        ,Shell                         ,"9954 STELLA LINK RD, Houston                                 , TX",$2.899
STELLA LINK VALERO                                          ,Valero                        ,"8430 STELLA LINK RD, Houston                                 , TX",$2.899
SOUTH MAIN FOOD MART                                        ,Exxon                         ,"9200 MAIN ST, Houston                                 , TX",$2.959
MED CENTER CITGO                                            ,CITGO                         ,"2802 OLD SPANISH TRL, Houston                                 , TX",$2.959
TEXACO                                                      ,Texaco                        ,"9598 S MAIN ST, Houston                                 , TX",$2.959
FIRST STOP FOOD STORE                                       ,Valero                        ,"9230 BUFFALO SPEEDWAY, Houston, TX",$2.959
SHELL,Shell                         ,"2540 W HOLCOMBE BLVD, Houston                                 , TX",$3.059
CHEVRON                                                     ,Chevron                       ,"2424 OLD SPANISH TRL, Houston                                 , TX",$3.099
SHELL                                                       ,Shell                         ,"6019 ALMEDA RD, Houston                                 , TX",$3.099
SHELL                                                       ,Shell                         ,"3250 OLD SPANISH TRL, Houston, TX",$3.149
EXXON                                                       ,Exxon                         ,"6625 SCOTT ST, Houston                                 , TX",$2.759
SOUTH LOOP CITGO,CITGO                         ,"3839 SOUTH LOOP E, Houston                                 , TX",$2.799
GULF                                                        ,Gulf                          ,"3300 YELLOWSTONE BLVD, Houston                                 , TX",$2.949
GULF #139                                                   ,Gulf                          ,"3200 HOLCOMBE BLVD, Houston, TX",
FUEL DEPOT #23                                              ,Fuel Depot                    ,"7120 SCOTT ST, Houston, TX",
PHILLIPS 66                                                 ,Phillips 66                   ,"9202 ROSEHAVEN DR, Houston                                 , TX",
STRIPES #1084                                               ,Stripes                       ,"4300 OLD SPANISH TRL, Houston                                 , TX",$2.459
OST FOOD MART                                               ,Valero                        ,"4303 OLD SPANISH TRL, Houston, TX",$2.659
SHOP N GO                                                   ,Unbranded                     ,"7800 ALMEDA RD, Houston                                 , TX",$2.659
CIRCLE K #2742314,Corner Store                  ,"4707 GULF FWY, Houston                                 , TX",$2.659
JOHNNY QUIK FOOD MART                                       ,Unbranded                     ,"3161 OLD SPANISH TRL, Houston                                 , TX",$2.699
FAST TRACK FUEL                                             ,Unbranded                     ,"4901 GRIGGS RD, Houston                                 , TX",$2.749
ALMEDA FOOD & FUEL                                          ,Exxon                         ,"7500 ALMEDA RD, Houston                                 , TX",$2.759
CIRCLE K #2629                                              ,Circle K                      ,"6142 LONG DR, Houston, TX",$2.759
OST FOOD MART,Unbranded                     ,"4529 OLD SPANISH TRL, Houston, TX",$2.799
DEL RIO FOOD MART                                           ,CITGO                         ,"3402 OLD SPANISH TRL, Houston                                 , TX",$2.799
COME AND GO FOOD STORE                                      ,Texaco                        ,"7140 SCOTT ST, Houston                                 , TX",$2.799
STAR STOP 28                                                ,Exxon                         ,"7410 CULLEN BLVD, Houston, TX",$2.799
FUEL EXPRESS                                                ,Exxon                         ,"7555 SCOTT ST, Houston                                 , TX",$2.799
STRIPES #1004                                               ,Stripes                       ,"2329 SOUTHMORE BLVD, Houston                                 , TX",$2.799
LEES ONE STOP                                               ,CITGO                         ,"6120 SOUTH LOOP E, Houston, TX",$2.799
SHELL,Shell                         ,"6141 SOUTH LOOP E, Houston                                 , TX",$2.799
STAR STOP #60                                               ,Exxon                         ,"2111 SOUTHMORE BLVD, Houston                                 , TX",$2.799
COASTAL GAS MART                                            ,Valero                        ,"5203 ALMEDA RD, Houston                                 , TX",$2.799
STRIPES #1002                                               ,Stripes                       ,"6155 SOUTH LOOP E, Houston, TX",$2.799
TEXACO                                                      ,Texaco                        ,"3902 BELLFORT ST, Houston                                 , TX",$2.799
HANDI STOP 122                                              ,Exxon                         ,"2324 SCOTT ST, Houston, TX",$2.799
24 SEVEN #20                                                ,Mobil                         ,"7121 CULLEN BLVD, Houston, TX",$2.849
A MART,Valero                        ,"6500 MARTIN LUTHER KING JR BLVD, Houston                                 , TX",$2.859
SHELL,Shell                         ,"8037 MARTIN LUTHER KING JR BLVD, Houston                                 , TX",$2.859
24 SEVEN #21                                                ,Exxon                         ,"3901 OLD SPANISH TRL, Houston, TX",$2.899
CHEVRON                                                     ,Chevron                       ,"3365 OLD SPANISH TRL, Houston                                 , TX",$2.899
BUSY BEE                                                    ,Mobil                         ,"3354 OLD SPANISH TRL, Houston                                 , TX",$2.899
24 SEVEN #6                                                 ,Exxon                         ,"4702 SCOTT ST, Houston                                 , TX",$2.899
CULLEN SHELL                                                ,Shell                         ,"7401 CULLEN BLVD, Houston                                 , TX",$2.899
CHEVRON 0380266                                             ,Chevron                       ,"6850 MARTIN LUTHER KING BLVD, Houston, TX",$2.899
CHEVRON                                                     ,Chevron                       ,"3506 ELGIN ST, Houston                                 , TX",$2.899
SCOTT N GRIGGS                                              ,Valero                        ,"5820 SCOTT ST, Houston                                 , TX",$2.949
MLK FOOD STORE                                              ,76                            ,"5820 MARTIN LUTHER KING JR BLVD, Houston, TX",$2.949
SHELL SERVICE STATION,Shell                         ,"N MCREGOR AND SCOTT, Houston, TX",$2.959
MED CENTER CITGO                                            ,CITGO                         ,"2802 OLD SPANISH TRL, Houston                                 , TX",$2.959
SHELL                                                       ,Shell                         ,"6019 ALMEDA RD, Houston                                 , TX",$3.099
CHEVRON                                                     ,Chevron                       ,"2424 OLD SPANISH TRL, Houston                                 , TX",$3.099
KING MART                                                   ,Chevron                       ,"5800 ALMEDA RD, Houston                                 , TX",$3.099
SHELL                                                       ,Shell                         ,"3250 OLD SPANISH TRL, Houston, TX",$3.149
GULF #151                                                   ,Gulf                          ,"6333 MARTIN LUTHER KING BLVD, Houston, TX",$2.599
GULF                                                        ,Gulf                          ,"3033 ELGIN ST, Houston                                 , TX",$2.599
EXXON                                                       ,Exxon                         ,"6625 SCOTT ST, Houston                                 , TX",$2.759
STICKER STOP XPRESS                                         ,Valero                        ,"6302 MARTIN LUTHER KING JR BLVD, Houston, TX",$2.799
SOUTH LOOP CITGO,CITGO                         ,"3839 SOUTH LOOP E, Houston                                 , TX",$2.799
GULF                                                        ,Gulf                          ,"3300 YELLOWSTONE BLVD, Houston                                 , TX",$2.949
OST FOOD MART                                               ,Unbranded                     ,"3821 OLD SPANISH TRL, Houston                                 , TX",
24 SEVEN #14                                                ,76                            ,"6626 CULLEN BLVD, Houston, TX",
GAS N GO                                                    ,CITGO                         ,"6643 CULLEN BLVD, Houston, TX",
GULF                                                        ,Gulf                          ,"6802 CULLEN BLVD, Houston                                 , TX",
24 SEVEN                                                    ,Shell                         ,"3755 N MACGREGOR WAY, Houston, TX",
OST FUEL                                                    ,CITGO                         ,"4620 OLD SPANISH TRL, Houston, TX",
FUEL DEPOT #23                                              ,Fuel Depot                    ,"7120 SCOTT ST, Houston, TX",
GULF #139                                                   ,Gulf                          ,"3200 HOLCOMBE BLVD, Houston, TX",
SUNMART 292                                                 ,Unbranded                     ,"6402 MYKAWA RD, Houston                                 , TX",
BELLFORT MART                                               ,Phillips 66                   ,"4811 BELLFORT ST, Houston                                 , TX",
SOUTH PARK FOOD STORE                                       ,Unbranded                     ,"7603 MARTIN LUTHER KING JR BLVD, Houston, TX",
VALERO                                                      ,Valero                        ,"10600 CULLEN BLVD, Houston                                 , TX",$2.659
TEXACO                                                      ,Texaco                        ,"12805 CULLEN BLVD, Houston                                 , TX",$2.699
PRIME EXPRESS #2                                            ,Unbranded                     ,"3555 AIRPORT BLVD, Houston, TX",$2.749
REED MART                                                   ,Valero                        ,"2800 REED RD, Houston                                 , TX",$2.799
EXXON                                                       ,Exxon                         ,"2665 REED RD, Houston, TX",$2.799
AM MINI MT 23                                               ,Valero                        ,"4110 AIRPORT BLVD, Houston                                 , TX",$2.799
TEXACO                                                      ,Texaco                        ,"3902 BELLFORT ST, Houston                                 , TX",$2.799
STAR STOP FOOD MART #8                                      ,Star Stop Food Mart           ,"8610 ALMEDA RD, Houston, TX",$2.799
FUEL EXPRESS                                                ,Exxon                         ,"7555 SCOTT ST, Houston                                 , TX",$2.799
HANDI STOP #100                                             ,Handi Stop                    ,"1620 S LOOP W, Houston, TX",$2.799
STAR STOP 28                                                ,Exxon                         ,"7410 CULLEN BLVD, Houston, TX",$2.799
CHEVRON 0382479                                             ,Chevron                       ,"3509 ALMEDA GENOA RD, Houston, TX",$2.799
CHEVRON                                                     ,Chevron                       ,"2705 REED RD, Houston                                 , TX",$2.899
CULLEN FOOD MART                                            ,Mobil                         ,"9607 CULLEN BLVD, Houston, TX",$2.899
CULLEN FOOD MART                                            ,Exxon                         ,"9421 CULLEN BLVD, Houston                                 , TX",$2.899
CHEVRON                                                     ,Chevron                       ,"12703 KIRBY DR, Houston, TX",$2.899
CHEVRON                                                     ,Chevron                       ,"8550 ALMEDA RD, Houston                                 , TX",$2.899
LANDMARK INDUSTRIES                                         ,Chevron                       ,"12202 ALMEDA RD, Houston                                 , TX",$2.899
CULLEN SHELL                                                ,Shell                         ,"7401 CULLEN BLVD, Houston                                 , TX",$2.899
SAVEWAY FOOD MART,CITGO                         ,"11555 CULLEN BLVD, Houston                                 , TX",$2.699
SOUTH LOOP CITGO,CITGO                         ,"3839 SOUTH LOOP E, Houston                                 , TX",$2.799
PHILLIPS 66                                                 ,Phillips 66                   ,"9202 ROSEHAVEN DR, Houston                                 , TX",
PRIME EXPRESS                                               ,Unbranded                     ,"10403 CULLEN BLVD, Houston, TX",
365 FUEL                                                    ,Unbranded                     ,"9323 CULLEN BLVD, Houston, TX",
BELLFORT MART                                               ,Phillips 66                   ,"4811 BELLFORT ST, Houston                                 , TX",
OREM FOOD MART                                              ,Unbranded                     ,"12310 CULLEN BLVD, Houston, TX",
